"Story","Title","Result","Date","Stability","Duration (s)"
"Account","As user I have be able to settings my account","SUCCESS","2023-04-13T07:28:53.9+07:00[Asia/Bangkok]","0.0","0.8"
"Login","As user I have be able to success login","SUCCESS","2023-04-13T07:28:54.735+07:00[Asia/Bangkok]","0.0","0.06"
"Messaging","As user I have be able to create new message","SUCCESS","2023-04-13T07:28:54.838+07:00[Asia/Bangkok]","0.0","0.08"
"Network","As user I have be able to find my connection","SUCCESS","2023-04-13T07:28:54.989+07:00[Asia/Bangkok]","0.0","0.12"
"UpdateProfile","As user I have be able to update my profile","SUCCESS","2023-04-13T07:28:55.131+07:00[Asia/Bangkok]","0.0","0.07"
